0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1.55941	-0.138498	1.56019	-0.138567	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1.62787	0.0197141	2.28746	-0.0387849	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
3.89118	-0.133533	2.24667	-0.195296	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
3.96601	0.0727306	2.41112	0.0927275	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
6.85682	0.414661	3.33074	0.483761	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
6.69015	0.434762	2.63885	0.382822	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
9.08087	0.595519	2.15817	0.0105442	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
9.0936	0.66705	2.39752	0.145662	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
11.5742	1.6581	2.57104	1.55969	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
11.5256	1.6175	2.38076	1.45703	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
13.5968	2.31995	1.75863	0.183125	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
13.69	2.29709	2.30733	0.228754	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
16.6364	2.89873	3.54836	0.878203	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
16.4805	2.8716	2.871	0.75545	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
19.0152	3.70497	2.23028	0.869587	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
19.0871	3.72496	2.37096	0.906635	19.363	3.87122	18.923	3.74161	2.61382	0.95648
21.3329	4.73112	2.13664	1.06545	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
21.429	4.75066	2.49797	1.15466	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
24.0769	5.57296	2.76484	0.611489	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
24.1854	5.60716	2.99322	0.679424	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
26.6125	6.95466	1.95295	1.75362	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647
26.6697	6.97023	2.37742	1.89349	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647
29.5798	8.09528	3.33946	0.652666	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822
29.5266	8.08562	3.06392	0.581569	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822
31.9492	9.86844	1.92837	2.5329	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358
31.9341	9.85776	2.03431	2.57102	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358
34.6089	10.7158	3.11314	-0.234169	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617
34.6932	10.7448	3.22291	-0.194669	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617
37.1491	12.0734	1.88667	2.28249	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209
37.2635	12.1133	2.27995	2.42422	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209
40.3192	13.4767	3.66225	0.718936	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459
